slug;kod;marka;urun_adi;FIYAT_BURAYA
elektirik-motoru-2-2-kw-380v-1;2.2;FORM;Elektrik Motoru 2.2 kW-380V YP02.10107;
elektirik-motoru-2-2-kw-380v;2.2;FORM;Elektrik Motoru 2.2 kW-380V YP02.10112;
elektirik-motoru-3-0-kw-220v;3.0;FORM;Elektrik Motoru 3.0 kW-220V YP02.10108;
elektirik-motoru-3-0-kw-380v;3.0;FORM;Elektrik Motoru 3.0 kW-380V;
elektirik-motoru-3-0-kw-380v-1;3.0;FORM;Elektrik Motoru 3.0 kW-380V YP02.10109;
euroform-4-yone-uflemeli-kaset-tipi-fancoil;000S;FORM;EuroForm 4 Yöne Üflemeli Kaset Tipi Fancoil;
basinc-sensor-seti;YM02.10965;FORM;Evaporatif Basınç Sensör Seti;
elektrik-motoru-3-kw-380v-fesklima;;FORM;Evaporatif Klima Elektrik Motoru Fes Klima;
fes-25-30a-petek;25/30A;FORM;Evaporatif Klima FES 25/30A Petek PJ-020;
fespack-elektronik-kart;;FORM;Evaporatif Klima FESPACK Elektronik Kart;
fespack-elektronik-kumanda;;FORM;Evaporatif Klima Fespack Elektronik Kumanda;
sirkulasyon-pompasi-1;;FORM;Evaporatif Klima Sirkülasyon Pompası;
ufleme-basligi;;FORM;Evaporatif Klima Üfleme Başlığı;
fes-00a-samandira;00A;FORM;Evaporatif Klima Şamandıra 00A PJ-006 OVAL;
elektrik-motoru-1-5-kw-380v;1,5;FORM;Evaporatif Soğutma Elektrik Motoru 1,5 kW-380V;
elektrik-motoru-2-2-kw-380v-fesklima;2,2;FORM;Evaporatif Soğutma Elektrik Motoru 2,2 kW-380V;
fes-20a-aksiyel-fan;20A;FORM;Evaporatif Soğutma FES 20A Aksiyel Fan;
sirkulasyon-pompasi;;FORM;Evaporatif Soğutma Sirkülasyon Pompası;
fes-00a-data-kablosu;00A;FORM;FES 00A Data Kablosu;
fes-00a-su-dagitim-90deg-dirsek;00A;FORM;FES 00A Su Dağıtım 90° Dirsek YP02.20124;
fes-10-rc;;FORM;FES 10 RC Evaporatif Klima;
fes-10-rp;;FORM;FES 10 RP Evaporatif Soğutma;
fes-10rcb-evaporatif-sog-unitesi;10RCB;FORM;FES 10RCB EVAPORATİF SOĞ.ÜNİTESİ;
fes-10rcs-evaporatif-sog-unitesi;10RCS;FORM;FES 10RCS EVAPORATİF SOĞ.ÜNİTESİ;
fes-10rct-evaporatif-sog-unitesi;10RCT;FORM;FES 10RCT EVAPORATİF SOĞ.ÜNİTESİ;
fes-10rpb-evaporatif-sog-cihazi;10RPB;FORM;FES 10RPB EVAPORATİF SOĞ. CİHAZI;
fes-10rpb-invertorlu-evaporatif-sog-cihazi;10RPB;FORM;FES 10RPB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI;
fes-10rps-evaporatif-sog-cihazi;10RPS;FORM;FES 10RPS EVAPORATİF SOĞ. CİHAZI;
fes-10rps-invertorlu-evaporatif-sog-cihazi;10RPS;FORM;FES 10RPS İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI;
fes-16-rc;;FORM;FES 16 RC Evaporatif Soğutma;
fes-16-rp;;FORM;FES 16 RP Evaporatif Soğutma;
fes-16rcb-evaporatif-sog-unitesi;16RCB;FORM;FES 16RCB EVAPORATİF SOĞ.ÜNİTESİ;
fes-16rcs-evaporatif-sog-unitesi;16RCS;FORM;FES 16RCS EVAPORATİF SOĞ.ÜNİTESİ;
fes-16rct-evaporatif-sog-unitesi;16RCT;FORM;FES 16RCT EVAPORATİF SOĞ.ÜNİTESİ;
fes-16rpb-evaporatif-sog-cihazi;16RPB;FORM;FES 16RPB EVAPORATİF SOĞ. CİHAZI;
fes-16rpb-invertorlu-evaporatif-sog-cihazi;16RPB;FORM;FES 16RPB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI;
fes-16rps-evaporatif-sog-cihazi;16RPS;FORM;FES 16RPS EVAPORATİF SOĞ. CİHAZI;
fes-16rps-invertorlu-evaporatif-sog-cihazi;16RPS;FORM;FES 16RPS İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI;
fes-18-20a-invertor-1-5kw;18/20A;FORM;FES 18/20A İNVERTÖR -1.5KW;
fes-20-ap;;FORM;FES 20 AP Evaporatif Klima;
fes-20-rc;;FORM;FES 20 RC Evaporatif Klima;
fes-20-rp;;FORM;FES 20 RP Evaporatif Soğutma;
fes-20apb-evaporatif-sog-cihazi-220-v;20APB;FORM;FES 20APB EVAPORATİF SOĞ. CİHAZI (220 V.);
fes-20apb-evaporatif-sog-cihazi-380-v;20APB;FORM;FES 20APB EVAPORATİF SOĞ. CİHAZI (380 V.);
fes-20apb-invertorlu-evaporatif-sog-cihazi-220v;20APB;FORM;FES 20APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (220V.);
fes-20apb-invertorlu-evaporatif-sog-cihazi-380v;20APB;FORM;FES 20APB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI (380V.);
fes-20rcb-evaporatif-sog-unitesi;20RCB;FORM;FES 20RCB EVAPORATİF SOĞ.ÜNİTESİ;
fes-20rcs-evaporatif-sog-unitesi;20RCS;FORM;FES 20RCS EVAPORATİF SOĞ.ÜNİTESİ;
fes-20rct-evaporatif-sog-unitesi;20RCT;FORM;FES 20RCT EVAPORATİF SOĞ.ÜNİTESİ;
fes-20rpb-evaporatif-sog-cihazi;20RPB;FORM;FES 20RPB EVAPORATİF SOĞ. CİHAZI;
fes-20rpb-invertorlu-evaporatif-sog-cihazi;20RPB;FORM;FES 20RPB İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI;
fes-20rps-evaporatif-sog-cihazi;20RPS;FORM;FES 20RPS EVAPORATİF SOĞ. CİHAZI;
fes-20rps-invertorlu-evaporatif-sog-cihazi;20RPS;FORM;FES 20RPS İNVERTÖRLÜ EVAPORATİF SOĞ. CİHAZI;
fes-25-ap;;FORM;FES 25 AP Evaporatif Soğutma;
fes-25-30a-aksiyel-fan;25/30A;FORM;FES 25/30A AKSİYEL FAN;
fes-25-30a-alt-havuz;25/30A;FORM;FES 25/30A ALT HAVUZ;
fes-25-30a-aluminyum-cerceveli-petek;25/30A;FORM;FES 25/30A ALUMINYUM CERCEVELI PETEK;
fes-25-30a-drenaj-vanasi-yp02-20132;25/30A;FORM;FES 25/30A DRENAJ VANASI;
fes-25-30a-motor-ayagi;25/30A;FORM;FES 25/30A MOTOR AYAĞI;
fes-25-30a-petek-1;25/30A;FORM;FES 25/30A PETEK;
fes-25-30a-su-dagitim-boru-kiti;25/30A;FORM;FES 25/30A Su Dağıtım Boru Kiti YP02.20125;
fes-25-30a-sirkulasyon-pompasi;25/30A;FORM;FES 25/30A SİRKÜLASYON POMPASI;
fes-25-30a-ust-kapak;25/30A;FORM;FES 25/30A UST KAPAK;
fes-25-30a-cerceveli-petek-yp02-20130;25/30A;FORM;FES 25/30A Çerçeveli Petek YP02.20130;
fes-25-30a-samandira;25/30A;FORM;FES 25/30A ŞAMANDIRA;
fes-25-30apb-evaporatif-sog-cihazi-fansiz-unite;25/30APB;FORM;FES 25/30APB EVAPORATİF SOĞ. CİHAZI-FANSIZ ÜNİTE;
fes-25-30apb-tul-filtre;25/30APB;FORM;FES 25/30APB TÜL FİLTRE;
